Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7 µF, 50 V, X7R (0805)","C_0805_2012Metric",126.304000,-93.700000,180.000000,top
"C2","22 µF, 10 V, X7R (1206)","C_1206_3216Metric",120.102200,-98.340000,180.000000,top
"C3","10 pF, 50 V, X7R (0805)","C_0805_2012Metric",125.046800,-98.510000,0.000000,top
"D1","SS14","D_SMA",110.522000,-85.945000,0.000000,top
"D2","SS14","D_SMA",102.630400,-85.945000,180.000000,top
"J3","Conn_01x02_Pin","SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm",105.423000,-92.010000,0.000000,top
"L1","ASPI-0630LR-150M-T15","L_Abracon_ASPI-0630LR",124.025000,-87.775000,0.000000,top
"Q1","2N7002","SOT-23",104.912500,-97.790000,0.000000,top
"R1","1M","R_0805_2012Metric",122.023500,-93.730000,0.000000,top
"R2","604 kΩ, 1%","R_0805_2012Metric",117.705500,-93.730000,180.000000,top
"R3","10k","R_0805_2012Metric",113.641500,-93.730000,0.000000,top
"R4","1M","R_0805_2012Metric",110.403100,-98.540000,0.000000,top
"U1","AP3015AKTR-G1","SOT-23-5",116.967000,-86.070000,0.000000,top
